timestamp,accel_x,accel_y,accel_z
1637208701130,99.7099,-18.969,-15.4009
1637208701144,99.0866,-18.3485,-16.0736
1637208701160,97.377,-18.1358,-14.819
1637208701176,96.8249,-17.5862,-15.9464
1637208701190,95.6318,-17.6926,-16.9646
1637208701206,94.1893,-18.2422,-13.6917
1637208701222,93.6194,-17.0544,-11.1279
1637208701236,93.8331,-17.4444,-11.6734
1637208701252,96.7003,-17.0367,-13.6008
1637208701268,102.5059,-16.5225,-16.6373
1637208701282,105.2128,-17.2671,-19.1465
1637208701298,105.2128,-16.6998,-19.7102
1637208701314,102.9689,-15.8311,-17.0919
1637208701328,99.8346,-14.8384,-13.2008
1637208701344,94.492,-12.3033,-12.1825
1637208701360,88.5974,-9.2009,-11.0006
1637208701374,82.6672,-6.5594,-7.6368
1637208701390,81.5452,-3.4215,-2.3638
1637208701406,87.4399,-2.9606,-0.4909
1637208701420,99.4428,-1.4182,-5.8003
1637208701436,111.1074,-3.1201,-11.8189
1637208701452,116.2362,-6.3998,-18.0374
1637208701466,115.7376,-8.8108,-21.1285
1637208701482,114.5979,-7.6231,-21.0012
1637208701498,117.3938,-4.8752,-18.8374
1637208701514,117.0732,-5.4425,-22.8195
1637208701528,109.5937,-5.7439,-25.8742
1637208701544,100.0127,-6.2403,-25.2378
1637208701560,93.0495,-5.1589,-22.4922
1637208701574,88.4193,-3.2265,-21.5649
1637208701590,86.7453,0.7978,-21.5831
1637208701606,87.2974,1.1878,-20.4012
1637208701620,87.707,1.7196,-19.1465
1637208701636,88.8289,0.8332,-18.8193
1637208701652,89.8084,1.2232,-17.8919
1637208701666,89.755,0.6382,-16.5464
1637208701682,91.5002,1.0637,-18.5283
1637208701698,92.9249,0.1773,-18.9284
1637208701712,95.7208,-2.1628,-19.4011
1637208701728,99.6565,-4.0597,-19.3647
1637208701744,101.0634,-4.9461,-19.6011
1637208701758,101.188,-4.1306,-18.5101
1637208701774,101.1346,-3.0138,-19.4375
1637208701790,100.636,-2.2337,-19.492
